,true
0,4.0544628998110275
1,4.460090368954149
2,4.198209463623139
3,4.9334441481559335
4,2.3718516455537113
5,3.723179581016637
6,4.627986153494561
7,3.489879979426634
8,4.1063963820752
9,4.247692322017312
10,3.4938634657274212
11,3.0537668853812994
12,4.125996677121017
13,3.83012420832027
14,4.097604094264014
15,3.347191301120899
16,4.25955115072637
17,4.049334459359998
18,3.445469617169385
19,4.872915405781942
20,4.198797343401806
21,3.5950673792486363
22,3.0228590125621975
23,4.10820132471242
24,4.35923947917329
25,4.451500720906214
26,4.207945118939459
27,3.8003864362299624
28,4.3022269275391025
29,4.05527396159855
30,4.075156616351159
31,3.8193043964143825
32,4.101761460745609
33,3.8281304385231008
34,3.8708853080842003
35,3.8299019471876448
36,3.982429887521458
37,4.320268996495362
38,4.264917154860341
39,3.650137162825814
40,4.177938637273361
41,4.78675157350839
42,3.5481584623471707
43,3.44283320859002
44,3.7506197925443225
45,3.7703181102526995
46,5.199136575235609
47,4.646454868160545
48,4.619931721467548
49,3.9138209559946886
50,3.97350597236899
51,3.9362691244405967
52,3.8469822945259606
53,4.197996757149352
54,4.278089660928217
55,4.152960770410731
56,4.660154000051028
57,3.237704759745108
58,3.9916883630820834
59,3.919585723971689
60,4.677198644064269
61,4.207204801497628
62,3.34976941291185
63,3.4957752233920694
64,3.4186714462520387
65,2.993529648350229
66,3.7385481044946736
67,4.0556595323000835
68,4.117379835918306
69,4.624452953500055
70,4.846964252055531
71,4.2580253137481785
72,4.362292466867268
73,3.844375430713102
74,3.76279861374328
75,3.9755204618339786
76,3.906725879981278
77,3.8227742928958026
78,3.8392185810914445
79,3.963330217247902
80,4.832759684101318
81,3.9606722558990533
82,3.9526734934158547
83,3.5594147385254744
84,3.9673381438382487
85,3.811277880041472
86,4.659161004516696
87,5.100878181908433
88,4.002456463872412
89,4.1811200259574735
90,3.87813235813571
91,4.6618387292739945
92,4.022961040173375
93,3.3729423744610356
94,4.196565082050585
95,4.818905577267478
96,4.4635430499827065
97,3.8609005963935723
98,4.258907445393547
99,4.631946781604187
100,4.619201501512126
101,4.8695850544912025
102,4.388104481302521
103,4.198955881013984
104,4.4046669368376765
105,4.290787261420352
106,4.556932067257545
107,4.755304853883539
108,3.8072961561551275
109,4.721937983168445
110,4.250465376743179
111,4.393684591921457
112,4.573283505349895
113,4.48875908162462
114,5.077763354466432
115,3.3021644224192004
116,4.133473582003047
117,4.2948032756546235
118,4.3340088195712605
119,3.6815430441275954
120,3.117565018340862
121,3.4138259974808363
122,4.7010929058955
123,3.254662486928674
124,3.996853079188149
125,4.492299936764035
126,3.566608872637264
127,3.8674125592100514
128,4.4643489774983145
129,3.5693948979325483
130,4.596949168400222
131,3.251318324300203
132,4.452452963479104
133,4.566889034788108
134,4.65796289320848
135,4.572359155779492
136,4.010249382807252
137,3.7956495292949417
138,3.4669344290701316
139,3.638093434479762
140,3.0187524814517763
141,3.5861378938876136
142,3.8712780421152955
143,3.991827914032682
144,3.485413028397908
145,2.742958150632349
146,4.310611448089661
147,4.339534216403214
148,4.614066789483967
149,3.8367748314047256
150,4.16009068559901
151,3.6543660086186884
152,3.7599178360421703
153,4.58088206646517
154,4.127978591554235
155,3.6596820163694126
156,4.138845903981284
157,4.268077332681012
158,3.723632862832426
159,2.6461114072363046
160,3.3118498662761238
161,3.6596373522030237
162,3.501335240126334
163,3.4690557183433715
164,4.134969051740611
165,3.805914475905205
166,2.9699005317676432
167,5.074662181583827
168,3.53510865337007
169,3.227641423446138
170,3.340243769189386
171,3.6882688350212836
172,3.8084587909937055
173,3.6468860025553687
174,3.5678121016026108
175,4.656557606353854
176,3.7650397011618133
177,4.100428945162666
178,3.5470706952569357
179,3.512561394969388
180,4.016792536584655
181,4.373073340086591
182,3.9429622234012287
183,3.8671624397562154
184,3.9574056974989675
185,4.540391290784933
186,4.331903711471745
187,5.020980033496739
188,3.796900648512039
